date,rainfall_departure_pct
1923-12-01,25.02
1924-01-01,29.51
1924-02-01,-8.41
1924-03-01,-52.38
1924-04-01,-13.39
1924-05-01,-5.66
1924-06-01,-5.25
1924-07-01,21.68
1924-08-01,2.73
1924-09-01,39.94
1924-10-01,-14.26
1924-11-01,63.43
1924-12-01,-21.11
1925-01-01,-16.46
1925-02-01,-48.04
1925-03-01,-39.55
1925-04-01,18.02
1925-05-01,50.17
1925-06-01,22.06
1925-07-01,1.3
1925-08-01,-3.17
1925-09-01,-18.0
1925-10-01,-10.18
1925-11-01,24.03
1925-12-01,43.68
1926-01-01,132.98
1926-02-01,-49.53
1926-03-01,98.79
1926-04-01,-4.42
1926-05-01,-8.37
1926-06-01,-30.43
1926-07-01,14.26
1926-08-01,25.7
1926-09-01,19.27
1926-10-01,-21.08
1926-11-01,-53.96
1926-12-01,32.8
1927-01-01,-5.36
1927-02-01,73.88
1927-03-01,-15.88
1927-04-01,2.33
1927-05-01,-5.35
1927-06-01,5.62
1927-07-01,18.86
1927-08-01,-6.11
1927-09-01,7.38
1927-10-01,-9.02
1927-11-01,58.57
1927-12-01,-42.62
1928-01-01,40.41
1928-02-01,86.64
1928-03-01,-20.59
1928-04-01,-11.94
1928-05-01,-8.19
1928-06-01,5.06
1928-07-01,6.26
1928-08-01,-2.13
1928-09-01,-15.16
1928-10-01,60.86
1928-11-01,-32.17
1928-12-01,36.37
1929-01-01,87.3
1929-02-01,6.95
1929-03-01,-29.41
1929-04-01,53.03
1929-05-01,5.68
1929-06-01,22.58
1929-07-01,-1.11
1929-08-01,-8.64
1929-09-01,-21.39
1929-10-01,30.75
1929-11-01,-29.86
1929-12-01,117.08
1930-01-01,39.75
1930-02-01,13.1
1930-03-01,-0.37
1930-04-01,14.16
1930-05-01,-9.32
1930-06-01,10.33
1930-07-01,-7.99
1930-08-01,-16.02
1930-09-01,13.19
1930-10-01,16.25
1930-11-01,55.99
1930-12-01,-0.24
1931-01-01,-31.57
1931-02-01,47.47
1931-03-01,-26.07
1931-04-01,-4.22
1931-05-01,-8.93
1931-06-01,-16.96
1931-07-01,19.86
1931-08-01,22.68
1931-09-01,14.49
1931-10-01,46.69
1931-11-01,15.42
1931-12-01,55.07
1932-01-01,-54.25
1932-02-01,-0.04
1932-03-01,-29.46
1932-04-01,-18.34
1932-05-01,49.83
1932-06-01,-15.35
1932-07-01,12.6
1932-08-01,-5.7
1932-09-01,9.07
1932-10-01,2.23
1932-11-01,73.71
1932-12-01,-6.43
1933-01-01,-7.12
1933-02-01,24.53
1933-03-01,-22.94
1933-04-01,24.89
1933-05-01,78.25
1933-06-01,23.72
1933-07-01,4.05
1933-08-01,17.66
1933-09-01,35.84
1933-10-01,22.63
1933-11-01,-26.78
1933-12-01,1.4
1934-01-01,62.18
1934-02-01,-17.23
1934-03-01,-41.01
1934-04-01,22.78
1934-05-01,-31.93
1934-06-01,28.49
1934-07-01,-1.87
1934-08-01,13.83
1934-09-01,-3.44
1934-10-01,-10.86
1934-11-01,5.75
1934-12-01,-39.73
1935-01-01,57.17
1935-02-01,-3.96
1935-03-01,-36.82
1935-04-01,6.29
1935-05-01,-28.95
1935-06-01,-3.94
1935-07-01,5.09
1935-08-01,0.05
1935-09-01,14.29
1935-10-01,-27.71
1935-11-01,-30.22
1935-12-01,-17.67
1936-01-01,-34.49
1936-02-01,81.74
1936-03-01,38.0
1936-04-01,-12.21
1936-05-01,33.13
1936-06-01,36.79
1936-07-01,4.07
1936-08-01,-6.95
1936-09-01,15.28
1936-10-01,-16.16
1936-11-01,59.14
1936-12-01,56.55
1937-01-01,-63.23
1937-02-01,136.98
1937-03-01,-37.91
1937-04-01,42.06
1937-05-01,-10.52
1937-06-01,-0.88
1937-07-01,21.07
1937-08-01,-18.89
1937-09-01,2.07
1937-10-01,29.5
1937-11-01,-24.48
1937-12-01,86.26
1938-01-01,79.83
